state,biden_positive_count,biden_negative_count,trump_positive_count,trump_negative_count
Utah,1420,1418,1225,1260
Hawaii,1436,1401,1226,1217
Minnesota,3260,2887,2740,2864
Ohio,8003,7746,6323,6240
Northern Mariana Islands,175,192,138,115
Arkansas,2198,2251,1922,1908
Oregon,3709,3408,3267,3588
Texas,25253,25244,20638,19336
North Dakota,506,501,468,374
Pennsylvania,9228,8817,7472,7231
Connecticut,2640,2346,2196,2207
Nebraska,1192,1125,1047,1065
Vermont,444,412,374,358
American Samoa,821,820,570,494
Nevada,3286,3421,2643,2520
Puerto Rico,395,392,366,383
Washington,5882,5021,5003,4968
Illinois,6694,6186,5852,5709
Oklahoma,2512,2429,1968,1814
Virgin Islands,50,50,60,41
District of Columbia,4039,3849,3263,3177
Delaware,1085,972,846,802
Alaska,934,909,833,821
New Mexico,1033,889,907,890
West Virginia,579,644,464,435
Missouri,3159,3052,2564,2401
Rhode Island,702,690,569,631
Georgia,8604,7980,6753,5802
Montana,737,710,608,598
Michigan,6357,5982,5276,5272
Virginia,6063,5926,4979,4637
Guam,27,41,25,22
North Carolina,7042,7003,5810,5452
Wyoming,303,337,259,219
Kansas,2165,2103,1785,1815
New Jersey,7014,6831,5895,5616
Maryland,3655,3325,3109,3029
Alabama,4314,4551,3310,3079
Arizona,7314,7095,5985,5813
Iowa,1687,1682,1413,1424
Massachusetts,4592,4132,3810,3869
Kentucky,3117,3033,2432,2261
Louisiana,3372,3702,2896,2761
Mississippi,1357,1342,1020,834
New Hampshire,1056,1031,785,834
Tennessee,5780,5789,4431,3919
Florida,26642,25670,22529,19039
Indiana,3979,3890,3319,3126
Idaho,1053,1055,925,852
South Carolina,4028,4062,3157,2792
South Dakota,343,327,285,314
California,28678,26621,24872,25566
New York,19539,17850,16575,16873
Wisconsin,3005,2731,2472,2421
Colorado,4423,4161,3819,3938
Maine,1102,1162,973,897
