state,biden_positive_count,biden_negative_count,trump_positive_count,trump_negative_count
Utah,3735,1700,2118,2233
Hawaii,3684,1637,2060,2223
Minnesota,9129,3510,4764,4844
Ohio,19764,9304,11547,11312
Northern Mariana Islands,301,181,190,153
Arkansas,5788,2629,3448,3086
Oregon,11277,4999,6492,7349
Texas,67349,30298,35849,36648
North Dakota,824,471,559,510
Pennsylvania,22545,9821,12451,12166
Connecticut,7435,2791,3660,3703
Nebraska,3729,1543,2106,2008
Vermont,1062,430,628,561
American Samoa,1824,920,1129,823
Nevada,7880,3760,4386,4439
Puerto Rico,2372,615,997,835
Washington,18666,7558,10076,10318
Illinois,21549,8614,10883,11531
Oklahoma,5517,2666,3362,3091
Virgin Islands,294,82,157,125
District of Columbia,17389,5158,7935,6769
Delaware,2895,1288,1468,1470
Alaska,2236,1064,1368,1378
New Mexico,3381,1305,1657,1899
West Virginia,1443,771,856,758
Missouri,6924,3501,4015,3727
Rhode Island,2371,947,1237,1223
Georgia,22938,9948,11664,10686
Montana,1766,933,1020,965
Michigan,17279,7520,9645,9830
Virginia,16562,6610,8346,8229
Guam,173,72,71,85
North Carolina,18092,8126,10091,9571
Wyoming,479,325,370,316
Kansas,6364,2583,3518,3322
New Jersey,17628,7671,9264,9368
Maryland,12070,4396,5910,6383
Alabama,9421,4890,5596,4976
Arizona,18318,8162,9700,9908
Iowa,4712,2027,2550,2412
Massachusetts,15010,5551,7688,7514
Kentucky,6315,3165,3976,3442
Louisiana,12490,6947,7084,7731
Mississippi,3388,1748,2085,1585
New Hampshire,2133,1051,1242,1265
Tennessee,11589,6358,7185,6250
Florida,53337,26351,31743,29102
Indiana,11061,5064,6354,5862
Idaho,2215,1118,1310,1225
South Carolina,7685,4061,4680,4151
South Dakota,1086,465,621,539
California,97951,38483,49703,56092
New York,66031,24514,34161,33309
Wisconsin,7969,3189,4249,4002
Colorado,11749,4913,6545,6919
Maine,2986,1365,1763,1495
