state,biden_count,trump_count
Utah,7712,6064
Hawaii,7658,6002
Minnesota,18077,13503
Ohio,41924,31902
Northern Mariana Islands,692,487
Arkansas,12059,9122
Oregon,23458,19170
Texas,139921,102158
North Dakota,1860,1530
Pennsylvania,46621,34621
Connecticut,14848,10283
Nebraska,7512,5720
Vermont,2152,1633
American Samoa,3915,2789
Nevada,17004,12575
Puerto Rico,4500,3031
Washington,37598,28350
Illinois,43207,31477
Oklahoma,11699,9069
Virgin Islands,551,390
District of Columbia,32471,20123
Delaware,6068,4139
Alaska,4759,3827
New Mexico,6734,4929
West Virginia,3098,2210
Missouri,14951,10742
Rhode Island,4810,3495
Georgia,48005,32024
Montana,3886,2799
Michigan,35576,27234
Virginia,32953,23230
Guam,348,234
North Carolina,37950,27512
Wyoming,1113,910
Kansas,12914,9570
New Jersey,36218,26326
Maryland,23862,17274
Alabama,20844,14714
Arizona,37989,27516
Iowa,9632,7051
Massachusetts,29444,21246
Kentucky,13670,10338
Louisiana,26956,19728
Mississippi,7344,5144
New Hampshire,4558,3540
Tennessee,25901,18705
Florida,114358,84621
Indiana,23213,16945
Idaho,4844,3604
South Carolina,17042,12379
South Dakota,2233,1695
California,195511,148580
New York,129728,94166
Wisconsin,16050,11584
Colorado,23815,18874
Maine,6160,4539
